iter	Passed	Remaining
0	313	3135658
1	593	2966173
2	907	3025201
3	1210	3024708
4	1472	2943711
5	1766	2941735
6	2043	2916864
7	2395	2992152
8	2622	2911737
9	2935	2933031
10	3239	2942170
11	3555	2959214
12	3866	2970252
13	4115	2935852
14	4403	2931026
15	4626	2886661
16	4966	2916573
17	5223	2896562
18	5470	2873628
19	5769	2879085
20	6026	2863698
21	6317	2865095
22	6616	2870235
23	6863	2853042
24	7085	2827255
25	7330	2811912
26	7598	2806779
27	7885	2808438
28	8167	2808287
29	8422	2798966
30	8748	2813218
31	9007	2805879
32	9279	2802557
33	9547	2798420
34	9841	2801960
35	10111	2798638
36	10450	2814008
37	10716	2809345
38	10986	2806063
39	11211	2791562
40	11482	2789097
41	11719	2778679
42	11981	2774527
43	12299	2783052
44	12523	2770471
45	12811	2772281
46	13108	2775977
47	13329	2763677
48	13524	2746662
49	13839	2754054
50	14136	2757629
51	14376	2750284
52	14618	2743658
53	14906	2745537
54	15200	2748556
55	15454	2744266
56	15748	2747233
57	16022	2746488
58	16318	2749482
59	16639	2756591
60	16938	2759860
61	17174	2752963
62	17365	2739013
63	17670	2743418
64	17967	2746335
65	18240	2745526
66	18532	2747553
67	18767	2741172
68	19058	2742986
69	19325	2741501
70	19522	2730085
71	19841	2735939
72	20143	2739299
73	20433	2740832
74	20725	2742699
75	20972	2738586
76	21236	2736762
77	21545	2740734
78	21852	2744248
79	22104	2740934
80	22420	2745567
81	22672	2742250
82	22959	2743212
83	23250	2744661
84	23514	2742942
85	23801	2743857
86	24118	2748158
87	24417	2750275
88	24704	2751113
89	24971	2749650
90	25225	2746766
91	25512	2747599
92	25827	2751341
93	26112	2751842
94	26444	2757172
95	26738	2758542
96	27090	2765745
97	27323	2760769
98	27584	2758755
99	27896	2761770
100	28195	2763442
101	28511	2766736
102	28815	2768825
103	29102	2769211
104	29354	2766337
105	29629	2765593
106	29940	2768236
107	30218	2767769
108	30567	2773786
109	30868	2775379
110	31187	2778521
111	31490	2780157
112	31763	2779134
113	32094	2783186
114	32356	2781257
115	32639	2781139
116	32990	2786682
117	33277	2786817
118	33597	2789730
119	33845	2786644
120	34151	2788292
121	34364	2782380
122	34660	2783281
123	34943	2783091
124	35250	2784784
125	35582	2788444
126	35869	2788523
127	36159	2788793
128	36394	2784891
129	36681	2784942
130	36993	2786926
131	37348	2792098
132	37634	2792032
133	37887	2789545
134	38165	2788937
135	38439	2788021
136	38747	2789524
137	39077	2792630
138	39402	2795342
139	39719	2797391
140	40024	2798621
141	40313	2798658
142	40617	2799781
143	40894	2799032
144	41221	2801674
145	41540	2803712
146	41818	2802957
147	42122	2803966
148	42414	2804188
149	42687	2803131
150	43024	2806266
151	43334	2807608
152	43583	2805020
153	43899	2806709
154	44221	2808805
155	44524	2809630
156	44831	2810665
157	45130	2811212
158	45451	2813133
159	45777	2815331
160	46088	2816534
161	46403	2818033
162	46652	2815491
163	46974	2817320
164	47254	2816647
165	47546	2816713
166	47888	2819684
167	48148	2817836
168	48392	2815081
169	48664	2813953
170	48982	2815471
171	49278	2815774
172	49661	2820933
173	49954	2820995
174	50255	2821501
175	50608	2824872
176	50961	2828217
177	51282	2829765
178	51565	2829192
179	51847	2828542
180	52165	2829926
181	52627	2838979
182	52978	2842000
183	53343	2845756
184	53595	2843452
185	53941	2846133
186	54231	2845823
187	54518	2845380
188	54772	2843237
189	55027	2841140
190	55371	2843672
191	55731	2846947
192	56072	2849230
193	56343	2847944
194	56706	2851332
195	57096	2855989
196	57401	2856404
197	57740	2858450
198	58084	2860714
199	58400	2861603
200	58642	2858892
201	58941	2858942
202	59269	2860414
203	59558	2859968
204	59919	2862973
205	60253	2864694
206	60586	2866307
207	60919	2867900
208	61163	2865296
209	61509	2867535
210	61765	2865531
211	62087	2866575
212	62387	2866586
213	62690	2866790
214	63026	2868440
215	63342	2869164
216	63693	2871505
217	64043	2873734
218	64322	2872772
219	64592	2871415
220	64880	2870867
221	65179	2870829
222	65460	2869979
223	65767	2870266
224	66058	2869875
225	66377	2870663
226	66671	2870395
227	67017	2872336
228	67334	2873028
229	67639	2873196
230	67972	2874569
231	68341	2877406
232	68649	2877686
233	68956	2877892
234	69228	2876652
235	69518	2876177
236	69782	2874646
237	70094	2875069
238	70370	2874014
239	70653	2873249
240	70970	2873844
241	71299	2874961
242	71576	2873968
243	71887	2874319
244	72243	2876488
245	72484	2874040
246	72756	2872851
247	73043	2872253
248	73392	2874081
249	73692	2873998
250	73982	2873515
251	74294	2873915
252	74616	2874640
253	74860	2872403
254	75204	2873978
255	75475	2872795
256	75792	2873338
257	76072	2872469
258	76364	2872076
259	76655	2871648
260	76959	2871696
261	77329	2874191
262	77656	2875068
263	77973	2875574
264	78315	2876997
265	78696	2879805
266	79060	2882002
267	79371	2882268
268	79733	2884354
269	80083	2885974
270	80284	2882247
271	80613	2883105
272	80954	2884424
273	81246	2883947
274	81539	2883520
275	81822	2882765
276	82134	2882994
277	82381	2880965
278	82685	2880947
279	82947	2879461
280	83289	2880741
281	83604	2881106
282	83870	2879767
283	84143	2878668
284	84454	2878868
285	84808	2880520
286	85037	2877927
287	85304	2876672
288	85609	2876650
289	85921	2876883
290	86285	2878843
291	86590	2878822
292	86865	2877832
293	87174	2877938
294	87504	2878741
295	87829	2879389
296	88174	2880669
297	88460	2880014
298	88771	2880177
299	89013	2878099
300	89374	2879868
301	89657	2879134
302	89906	2877303
303	90184	2876420
304	90487	2876306
305	90823	2877275
306	91175	2878707
307	91419	2876752
308	91751	2877555
309	92132	2879886
310	92450	2880232
311	92764	2880464
312	93112	2881742
313	93409	2881427
314	93787	2883602
315	94091	2883502
316	94420	2884142
317	94754	2884941
318	95101	2886144
319	95417	2886380
320	95737	2886737
321	96023	2886076
322	96329	2885993
323	96670	2887000
324	96999	2887595
325	97306	2887562
326	97647	2888509
327	97940	2888055
328	98230	2887512
329	98492	2886140
330	98817	2886616
331	99089	2885529
332	99417	2886080
333	99761	2887101
334	99996	2884967
335	100291	2884565
336	100561	2883466
337	100825	2882181
338	101128	2882015
339	101507	2884010
340	101847	2884877
341	102174	2885382
342	102453	2884518
343	102791	2885326
344	103125	2886026
345	103447	2886374
346	103746	2886053
347	104109	2887543
348	104456	2888575
349	104792	2889290
350	105128	2889975
351	105423	2889558
352	105742	2889800
353	106026	2889069
354	106319	2888590
355	106737	2891502
356	107022	2890802
357	107351	2891289
358	107629	2890418
359	107933	2890232
360	108215	2889443
361	108550	2890070
362	108844	2889627
363	109180	2890293
364	109446	2889089
365	109754	2889007
366	110039	2888303
367	110313	2887336
368	110714	2889674
369	111068	2890776
370	111366	2890425
371	111736	2891929
372	112076	2892663
373	112341	2891449
374	112674	2891978
375	112998	2892277
376	113286	2891667
377	113675	2893604
378	114029	2894655
379	114334	2894465
380	114695	2895679
381	115012	2895790
382	115394	2897528
383	115779	2899308
384	116113	2899825
385	116403	2899233
386	116763	2900372
387	117082	2900512
388	117380	2900114
389	117706	2900405
390	117956	2898842
391	118310	2899805
392	118656	2900601
393	118913	2899195
394	119227	2899198
395	119516	2898571
396	119844	2898909
397	120208	2900105
398	120508	2899744
399	120795	2899096
400	121148	2899999
401	121487	2900582
402	121824	2901110
403	122125	2900781
404	122364	2898992
405	122673	2898844
406	122994	2898975
407	123348	2899901
408	123577	2897886
