iter	Passed	Remaining
0	57	34263
1	113	33900
2	172	34416
3	235	35090
4	299	35597
5	351	34810
6	414	35074
7	471	34911
8	535	35149
9	589	34763
10	652	34954
11	700	34320
12	766	34599
13	830	34761
14	884	34500
15	943	34453
16	1002	34362
17	1066	34497
18	1123	34362
19	1180	34243
20	1242	34253
21	1301	34190
22	1358	34092
23	1410	33841
24	1471	33848
25	1527	33712
26	1588	33716
27	1649	33693
28	1711	33691
29	1765	33540
30	1819	33395
31	1876	33308
32	1935	33261
33	1995	33223
34	2060	33265
35	2118	33196
36	2184	33242
37	2241	33145
38	2303	33132
39	2367	33145
40	2424	33061
41	2486	33031
42	2539	32897
43	2589	32721
44	2659	32798
45	2713	32685
46	2776	32673
47	2838	32647
48	2886	32456
49	2942	32364
50	2999	32289
51	3054	32185
52	3105	32056
53	3167	32025
54	3222	31933
55	3281	31881
56	3341	31828
57	3399	31768
58	3453	31668
59	3507	31564
60	3569	31541
61	3629	31491
62	3690	31454
63	3747	31387
64	3808	31344
65	3865	31272
66	3926	31237
67	3989	31211
68	4057	31227
69	4111	31129
70	4174	31100
71	4236	31070
72	4301	31056
73	4361	31002
74	4420	30942
75	4481	30897
76	4542	30856
77	4603	30806
78	4659	30726
79	4705	30584
80	4770	30565
81	4831	30519
82	4890	30463
83	4943	30365
84	5005	30329
85	5067	30285
86	5128	30241
87	5192	30209
88	5249	30141
89	5309	30085
90	5373	30054
91	5433	30001
92	5497	29969
93	5559	29924
94	5612	29835
95	5672	29780
96	5732	29724
97	5789	29657
98	5841	29561
99	5907	29535
100	5971	29502
101	6038	29479
102	6094	29408
103	6158	29370
104	6218	29313
105	6283	29284
106	6347	29245
107	6414	29220
108	6473	29160
109	6535	29114
110	6599	29071
111	6656	29004
112	6720	28962
113	6780	28908
114	6838	28842
115	6900	28793
116	6964	28749
117	7022	28685
118	7089	28656
119	7141	28567
120	7208	28535
121	7268	28477
122	7319	28385
123	7382	28337
124	7439	28268
125	7503	28227
126	7565	28178
127	7627	28127
128	7690	28078
129	7749	28016
130	7810	27963
131	7871	27906
132	7919	27806
133	7980	27754
134	8030	27660
135	8091	27604
136	8151	27549
137	8212	27493
138	8275	27446
139	8338	27399
140	8397	27336
141	8461	27292
142	8514	27212
143	8576	27158
144	8624	27063
145	8684	27005
146	8746	26953
147	8807	26899
148	8866	26836
149	8926	26778
150	8992	26738
151	9051	26676
152	9119	26643
153	9174	26569
154	9233	26510
155	9290	26441
156	9354	26394
157	9415	26338
158	9474	26277
159	9538	26231
160	9601	26181
161	9660	26120
162	9727	26080
163	9793	26036
164	9843	25950
165	9911	25912
166	9967	25842
167	10030	25791
168	10093	25741
169	10149	25673
170	10202	25596
171	10265	25545
172	10331	25500
173	10398	25458
174	10452	25384
175	10514	25331
176	10570	25260
177	10632	25207
178	10696	25157
179	10760	25107
180	10811	25027
181	10863	24950
182	10927	24899
183	10983	24833
184	11037	24759
185	11085	24673
186	11146	24616
187	11208	24564
188	11264	24494
189	11318	24423
190	11373	24355
191	11425	24279
192	11488	24227
193	11544	24160
194	11601	24096
195	11662	24038
196	11715	23966
197	11770	23896
198	11832	23843
199	11892	23784
200	11955	23731
201	12018	23680
202	12076	23616
203	12135	23557
204	12200	23507
205	12249	23428
206	12306	23363
207	12354	23284
208	12420	23235
209	12480	23177
210	12536	23112
211	12598	23058
212	12651	22986
213	12710	22926
214	12771	22870
215	12833	22815
216	12896	22761
217	12963	22715
218	13027	22664
219	13088	22607
220	13146	22545
221	13214	22499
222	13270	22434
223	13337	22388
224	13391	22319
225	13457	22270
226	13512	22202
227	13571	22143
228	13630	22082
229	13695	22032
230	13757	21976
231	13817	21918
232	13881	21865
233	13940	21804
234	14003	21749
235	14062	21690
236	14124	21633
237	14184	21575
238	14247	21519
239	14311	21467
240	14368	21404
241	14430	21347
242	14487	21283
243	14539	21212
244	14600	21156
245	14665	21103
246	14725	21045
247	14783	20982
248	14842	20921
249	14908	20872
250	14962	20804
251	15020	20742
252	15082	20686
253	15146	20633
254	15210	20579
255	15268	20517
256	15329	20459
257	15386	20396
258	15437	20325
259	15499	20268
260	15564	20215
261	15623	20155
262	15673	20083
263	15732	20023
264	15794	19966
265	15857	19911
266	15910	19843
267	15973	19787
268	16036	19732
269	16097	19674
270	16156	19613
271	16211	19549
272	16273	19492
273	16326	19424
274	16386	19365
275	16446	19307
276	16501	19242
277	16566	19188
278	16634	19138
279	16693	19078
280	16755	19021
281	16813	18959
282	16874	18901
283	16940	18849
284	16998	18787
285	17058	18728
286	17113	18664
287	17177	18609
288	17231	18543
289	17292	18485
290	17353	18427
291	17401	18355
292	17464	18298
293	17523	18239
294	17587	18183
295	17651	18128
296	17711	18068
297	17772	18011
298	17839	17958
299	17905	17905
300	17958	17839
301	18019	17781
302	18083	17725
303	18142	17665
304	18207	17610
305	18270	17554
306	18331	17495
307	18389	17433
308	18455	17380
309	18522	17327
310	18582	17268
311	18643	17209
312	18704	17150
313	18770	17096
314	18832	17038
315	18888	16975
316	18955	16922
317	19015	16863
318	19077	16805
319	19144	16751
320	19198	16686
321	19263	16630
322	19319	16567
323	19382	16510
324	19442	16451
325	19500	16390
326	19564	16333
327	19627	16276
328	19686	16215
329	19749	16159
330	19802	16093
331	19867	16037
332	19930	15979
333	19991	15921
334	20057	15866
335	20120	15809
336	20185	15752
337	20239	15688
338	20292	15623
339	20352	15563
340	20406	15499
341	20470	15442
342	20528	15381
343	20589	15322
344	20653	15265
345	20703	15198
346	20768	15142
347	20831	15085
348	20888	15022
349	20953	14967
350	21013	14907
351	21077	14849
352	21130	14785
353	21193	14727
354	21249	14665
355	21307	14603
356	21369	14545
357	21431	14486
358	21491	14427
359	21550	14366
360	21604	14303
361	21671	14248
362	21730	14187
363	21782	14122
364	21841	14062
365	21903	14003
366	21962	13943
367	22028	13887
368	22088	13827
369	22151	13770
370	22214	13711
371	22276	13653
372	22338	13594
373	22395	13533
374	22456	13474
375	22519	13415
376	22574	13352
377	22639	13296
378	22704	13239
379	22760	13177
380	22818	13116
381	22881	13058
382	22940	12997
383	23000	12937
384	23056	12875
385	23119	12817
386	23180	12758
387	23238	12697
388	23301	12638
389	23356	12576
390	23418	12518
391	23485	12461
392	23545	12401
393	23609	12344
394	23669	12284
395	23728	12223
396	23788	12164
397	23847	12103
398	23899	12039
399	23966	11983
400	24026	11923
401	24086	11863
402	24148	11804
403	24210	11745
404	24275	11688
405	24331	11626
406	24398	11569
407	24458	11509
408	24512	11447
409	24576	11389
410	24638	11330
411	24702	11272
412	24762	11212
413	24827	11154
414	24879	11090
415	24942	11032
416	25003	10972
417	25063	10912
418	25118	10850
419	25179	10791
420	25236	10730
421	25298	10671
422	25363	10613
423	25425	10553
424	25485	10494
425	25545	10434
426	25609	10375
427	25671	10316
428	25731	10256
429	25793	10197
430	25853	10137
431	25916	10078
432	25974	10018
433	26033	9957
434	26089	9896
435	26151	9836
436	26214	9778
437	26277	9718
438	26327	9655
439	26383	9593
440	26443	9534
441	26506	9475
442	26571	9417
443	26626	9355
444	26690	9296
445	26747	9235
446	26803	9174
447	26865	9114
448	26926	9055
449	26991	8997
450	27054	8938
451	27120	8880
452	27187	8822
453	27244	8761
454	27303	8701
455	27365	8641
456	27423	8581
457	27477	8519
458	27537	8459
459	27596	8398
460	27653	8338
461	27711	8277
462	27763	8215
463	27826	8156
464	27890	8097
465	27944	8035
466	28012	7977
467	28076	7918
468	28133	7858
469	28193	7798
470	28256	7738
471	28313	7678
472	28375	7618
473	28438	7559
474	28500	7500
475	28559	7439
476	28615	7378
477	28674	7318
478	28736	7259
479	28794	7198
480	28847	7136
481	28912	7078
482	28974	7018
483	29034	6958
484	29095	6899
485	29158	6839
486	29211	6778
487	29270	6717
488	29325	6656
489	29386	6597
490	29450	6537
491	29504	6476
492	29570	6418
493	29632	6358
494	29690	6297
495	29751	6238
496	29818	6179
497	29882	6120
498	29946	6061
499	30004	6000
500	30059	5939
501	30120	5880
502	30184	5820
503	30238	5759
504	30297	5699
505	30356	5639
506	30415	5579
507	30482	5520
508	30545	5461
509	30616	5402
510	30677	5343
511	30742	5283
512	30809	5224
513	30873	5165
514	30931	5105
515	30989	5044
516	31044	4983
517	31110	4924
518	31173	4865
519	31237	4805
520	31305	4746
521	31365	4686
522	31423	4626
523	31486	4566
524	31548	4506
525	31615	4447
526	31667	4386
527	31731	4327
528	31798	4267
529	31856	4207
530	31918	4147
531	31980	4087
532	32044	4028
533	32107	3968
534	32168	3908
535	32230	3848
536	32275	3786
537	32333	3726
538	32396	3666
539	32454	3606
540	32517	3546
541	32587	3487
542	32650	3427
543	32714	3367
544	32772	3307
545	32832	3247
546	32887	3186
547	32951	3126
548	33009	3066
549	33061	3005
550	33123	2945
551	33182	2885
552	33239	2825
553	33307	2765
554	33362	2705
555	33430	2645
556	33490	2585
557	33554	2525
558	33618	2465
559	33681	2405
560	33748	2346
561	33811	2286
562	33872	2226
563	33935	2166
564	33999	2106
565	34052	2045
566	34109	1985
567	34169	1925
568	34230	1864
569	34291	1804
570	34353	1744
571	34416	1684
572	34476	1624
573	34541	1564
574	34604	1504
575	34669	1444
576	34724	1384
577	34784	1323
578	34851	1264
579	34919	1204
580	34975	1143
581	35041	1083
582	35106	1023
583	35167	963
584	35232	903
585	35289	843
586	35349	782
587	35411	722
588	35471	662
589	35540	602
590	35602	542
591	35665	481
592	35724	421
593	35775	361
594	35833	301
595	35896	240
596	35961	180
597	36027	120
598	36086	60
599	36147	0
