iter	RMSE
0	5.879554108
1	4.760363023
2	3.767213008
3	3.130395062
4	2.670180963
5	2.351391965
6	2.144830203
7	1.962190654
8	1.854721196
9	1.771749163
10	1.709952943
11	1.686063891
12	1.658835592
13	1.635368016
14	1.599858761
15	1.57719043
16	1.573586088
17	1.56331161
18	1.562750133
19	1.549162372
20	1.539044562
21	1.537594283
22	1.531661511
23	1.531088317
24	1.519269148
25	1.519262612
26	1.515135913
27	1.511189079
28	1.508337873
29	1.507124621
30	1.502873177
31	1.499194256
32	1.495565357
33	1.483444209
34	1.471600658
35	1.464994798
36	1.463283772
37	1.459072146
38	1.458268913
39	1.457436222
40	1.455702374
41	1.455102199
42	1.45425657
43	1.451919736
44	1.450929953
45	1.450255911
46	1.440896419
47	1.437795815
48	1.424478449
49	1.420707516
50	1.415718583
51	1.415374972
52	1.41515069
53	1.41241296
54	1.411979366
55	1.403746115
56	1.401777088
57	1.401751927
58	1.399606404
59	1.399420458
60	1.399381798
61	1.393721523
62	1.392344037
63	1.385203039
64	1.384597654
65	1.384079955
66	1.384019032
67	1.383110139
68	1.383086063
69	1.38307616
70	1.383072199
71	1.38285964
72	1.38270995
73	1.381503359
74	1.381025783
75	1.380867773
76	1.380756616
77	1.380678187
78	1.380591259
79	1.379672724
80	1.374302109
81	1.371504686
82	1.371503999
83	1.371503937
84	1.370078934
85	1.370078621
86	1.370078434
87	1.370078621
88	1.365644196
89	1.364689068
90	1.364338251
91	1.359614778
92	1.3594721
93	1.359380919
94	1.358227786
95	1.358056786
96	1.356897859
97	1.353505567
98	1.352337992
99	1.351907735
100	1.351478101
101	1.349358967
102	1.34934501
103	1.346634006
104	1.346148638
105	1.345972097
106	1.345475928
107	1.345398624
108	1.345215303
109	1.345166812
110	1.345132574
111	1.34088188
112	1.33924668
113	1.338771422
114	1.338745014
115	1.338733696
116	1.337869924
117	1.337713408
118	1.335693952
119	1.335631207
120	1.335608006
121	1.334557234
122	1.328301077
123	1.328226189
124	1.328198669
125	1.328188293
126	1.328184619
127	1.328183265
128	1.325850718
129	1.321827844
130	1.321571235
131	1.321502832
132	1.321454248
133	1.321420044
134	1.321315289
135	1.321276611
136	1.321262163
137	1.320225131
138	1.319241337
139	1.318339731
140	1.317496441
141	1.316715934
142	1.316430302
143	1.315366358
144	1.314917559
145	1.314915801
146	1.314883445
147	1.314860594
148	1.313946991
149	1.312860495
150	1.312625219
151	1.310985007
152	1.306116766
153	1.304445599
154	1.304439889
155	1.304437855
156	1.303848675
157	1.303506571
158	1.303367996
159	1.303360772
160	1.299759483
161	1.299520978
162	1.299234597
163	1.299181491
164	1.299161789
165	1.299154607
166	1.29915184
167	1.299150917
168	1.299150522
169	1.299150127
170	1.296177643
171	1.296177246
172	1.292841486
173	1.292833276
174	1.292524617
175	1.291564925
176	1.291535431
177	1.291307274
178	1.291305087
179	1.291224871
180	1.291195567
181	1.291184827
182	1.290243048
183	1.290091902
184	1.290089779
185	1.290088982
186	1.290088717
187	1.290088651
188	1.290088584
189	1.289552593
190	1.289541175
191	1.289334576
192	1.289334576
193	1.289259416
194	1.288764927
195	1.288760012
196	1.288605304
197	1.288602381
198	1.288591154
199	1.288283804
200	1.287980635
201	1.28778688
202	1.287758628
203	1.287706644
204	1.287687631
205	1.287680585
206	1.287237894
207	1.287230312
208	1.287224992
209	1.287221268
210	1.287208899
211	1.284366879
212	1.284177979
213	1.284175112
214	1.284173313
215	1.284136516
216	1.284135316
217	1.28412145
218	1.28412145
219	1.284121583
220	1.28412145
221	1.284116317
222	1.284114384
223	1.284113717
224	1.284113584
225	1.284113317
226	1.284113317
227	1.284113317
