iter	Passed	Remaining
0	11	8812
1	20	8276
2	30	8023
3	39	7837
4	48	7723
5	57	7657
6	69	7909
7	80	7934
8	89	7861
9	98	7794
10	107	7743
11	117	7699
12	126	7648
13	135	7622
14	146	7651
15	156	7645
16	168	7739
17	177	7705
18	186	7674
19	195	7639
20	205	7610
21	214	7585
22	223	7553
23	232	7526
24	241	7501
25	251	7473
26	260	7466
27	272	7520
28	281	7493
29	291	7470
30	300	7448
31	309	7423
32	318	7402
33	327	7382
34	336	7361
35	345	7338
36	355	7322
37	366	7355
38	376	7341
39	385	7326
40	395	7313
41	404	7292
42	413	7274
43	422	7256
44	431	7239
45	440	7221
46	449	7208
47	459	7192
48	471	7227
49	481	7215
50	490	7201
51	499	7182
52	508	7166
53	517	7152
54	527	7138
55	535	7120
56	545	7104
57	554	7091
58	566	7109
59	575	7093
60	585	7088
61	594	7074
62	603	7059
63	612	7045
64	621	7032
65	631	7021
66	640	7005
67	649	6992
68	658	6975
69	670	6987
70	679	6973
71	688	6963
72	697	6949
73	707	6936
74	716	6923
75	725	6912
76	734	6900
77	743	6885
78	753	6872
79	764	6877
80	773	6870
81	783	6859
82	792	6846
83	801	6835
84	810	6821
85	820	6808
86	829	6795
87	838	6780
88	847	6768
89	856	6756
90	868	6764
91	877	6751
92	886	6740
93	895	6728
94	905	6716
95	914	6704
96	923	6692
97	932	6680
98	941	6668
99	951	6658
100	960	6650
101	972	6655
102	982	6646
103	991	6634
104	1000	6624
105	1009	6611
106	1019	6601
107	1028	6590
108	1037	6578
109	1046	6566
110	1056	6555
111	1067	6559
112	1076	6547
113	1086	6538
114	1095	6526
115	1104	6514
116	1113	6502
117	1123	6491
118	1132	6479
119	1141	6467
120	1150	6457
121	1159	6445
122	1171	6449
123	1181	6440
124	1190	6428
125	1199	6418
126	1209	6407
127	1218	6395
128	1227	6385
129	1236	6374
130	1245	6362
131	1255	6351
132	1266	6352
133	1276	6345
134	1285	6333
135	1294	6321
136	1304	6311
137	1313	6299
138	1322	6288
139	1331	6278
140	1340	6266
141	1349	6254
142	1358	6243
143	1370	6241
144	1380	6234
145	1389	6224
146	1398	6214
147	1408	6204
148	1417	6192
149	1426	6181
150	1435	6171
151	1445	6160
152	1454	6149
153	1466	6149
154	1475	6138
155	1485	6130
156	1494	6119
157	1503	6108
158	1512	6097
159	1521	6087
160	1531	6076
161	1540	6065
162	1549	6054
163	1558	6044
164	1569	6040
165	1579	6032
166	1588	6021
167	1597	6011
168	1606	5999
169	1615	5986
170	1624	5975
171	1633	5963
172	1642	5951
173	1650	5939
174	1659	5927
175	1670	5921
176	1679	5911
177	1688	5900
178	1697	5889
179	1706	5876
180	1714	5864
181	1723	5852
182	1732	5840
183	1740	5828
184	1749	5816
185	1758	5804
186	1768	5798
187	1778	5790
188	1788	5781
189	1797	5771
190	1806	5761
191	1815	5750
192	1824	5739
193	1834	5729
194	1843	5718
195	1852	5708
196	1862	5699
197	1873	5695
198	1884	5690
199	1893	5679
200	1902	5669
201	1911	5658
202	1920	5648
203	1929	5637
204	1938	5627
205	1948	5617
206	1957	5607
207	1968	5602
208	1978	5593
209	1987	5584
